MATRICULA;CODIGO_UNIDADE;CLASSE;CODIGO_UNIDADE_ENSINO_SISTEC;CODIGO_MUNICIPIO_DV;INSTITUICAO;JORNADA_TRABALHO;MUNICIPIO;NUMERO_REGISTROS;REGIAO;RSC;TITULACAO;UF;UNIDADE_LOTACAO;VINCULO_CARREIRA;VINCULO_CONTRATO;VINCULO_PROFESSOR
3316426;186;D;3522;1502707;IFPA;DE;Conceição do Araguaia;1;Região Norte;-;Doutorado;PA;Campus Conceição do Araguaia;EBTT;Efetivo;Sim
3316865;43;D;13863;1501808;IFPA;DE;Breves;1;Região Norte;-;Mestrado;PA;Campus Breves;EBTT;Efetivo;Sim
3269136;362;C;32357;1505502;IFPA;40h;Paragominas;1;Região Norte;-;Educação Básica;PA;Campus Paragominas;PCCTAE;Efetivo;Não
3269376;266;D;13396;1503606;IFPA;DE;Itaituba;1;Região Norte;-;Especialização;PA;Campus Itaituba;EBTT;Efetivo;Sim
3306487;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Campus Belém;EBTT;Substituto/Temporario;Sim
3306657;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Campus Belém;EBTT;Substituto/Temporario;Sim
3276132;350;D;32074;1505106;IFPA;DE;Óbidos;1;Região Norte;RSC II;Especialização;PA;Campus Óbidos;EBTT;Efetivo;Sim
3276555;266;D;13396;1503606;IFPA;40h;Itaituba;1;Região Norte;-;Graduação;PA;Campus Itaituba;EBTT;Substituto/Temporario;Sim
3277556;319;D;2919;1504208;IFPA;DE;Marabá;1;Região Norte;-;Especialização;PA;Campus Marabá Industrial;EBTT;Efetivo;Sim
3292221;266;D;13396;1503606;IFPA;40h;Itaituba;1;Região Norte;-;Educação Básica;PA;Campus Itaituba;PCCTAE;Efetivo;Não
3292370;186;D;3522;1502707;IFPA;40h;Conceição do Araguaia;1;Região Norte;-;Graduação;PA;Campus Conceição do Araguaia;EBTT;Substituto/Temporario;Sim
3292461;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
3292501;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Especialização;PA;Campus Castanhal;PCCTAE;Efetivo;Não
3269587;350;C;32074;1505106;IFPA;40h;Óbidos;1;Região Norte;-;Graduação;PA;Campus Óbidos;PCCTAE;Efetivo;Não
3307281;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;-;Especialização;PA;Campus Altamira;EBTT;Efetivo;Sim
3307396;350;D;32074;1505106;IFPA;DE;Óbidos;1;Região Norte;-;Doutorado;PA;Campus Óbidos;EBTT;Efetivo;Sim
